# Words from the community Discord archive, each looked at and marked
# correct or incorrect, with the reason.
#
# The archive is usage, not authority. Some of it is careful work by
# people who know the grammar; some is a first draft, a typo, a bot, a
# foreign name, or correct Ithkuil in a version we do not implement.
# Counting words in it and treating the count as evidence goes wrong
# quietly, so a word cited as evidence should appear here first.
#
# The verdict is about the WORD, not about our handling of it:
#
#   correct     well-formed under v1.3.1
#   incorrect   not well-formed; the rule column says what it breaks
#
# A leading "!" marks a word we currently disagree with: "!correct" is
# a well-formed word we fail to read. Those are filed defects, and the
# test reports them rather than failing, so the list stays honest about
# the difference between "the corpus is wrong" and "we are wrong".
#
# Provenance decides some of these. words.py drops messages from before
# 2023, because v1.3.1 was published that year and the older material
# scores 36-56% against our parser versus 61-80% after.
#
# Verdict | Word | Rule | Reason

# ── foreign names ───────────────────────────────────────────────────
# Not Ithkuil at all. A speaker writing a place name approximates it
# with Ithkuil letters, and the result does not have to obey Ithkuil
# phonotactics; §4.4 and §4.5 exist to carry exactly this. Both are
# "Hong Kong", one message using it in "hli'o hoňkoň", to Hong Kong.
# A 2022 thread says so outright: "höňkoň is normally impermissible but
# isn't here due to lax phonotactic rules".
incorrect | hoňkoň | §4.5 | foreign name (Hong Kong), not an Ithkuil word.
incorrect | höňkoň | §4.5 | foreign name (Hong Kong), not an Ithkuil word.

# ── chains quoted as fragments ──────────────────────────────────────
# §3.1.8 joins a chain with a hyphen, so a Slot I C_C marker always has
# a parent formative after it. Each of these is the dependent half of a
# chain that appears whole elsewhere in the same conversation, posted
# alone as a bot query or a truncated retype. The word is fine inside
# its chain and is not a word by itself.
incorrect | hläxëinļa | §3.1.8 | dependent of hläxëinļa-epsil, quoted alone.
incorrect | hanļkakceilliu | §3.1.8 | dependent of hanļkakceilliu-abkaţria, quoted alone.
incorrect | haeřalei | §3.1.8 | dependent of haeřalei-avzalu, quoted alone.
incorrect | hliamžá | §3.1.8 | dependent of hliamžá-wiafçnuţkusvunëi, quoted alone.
incorrect | hafçäxeuppëu | §3.1.8 | dependent of hafçäxeuppëu-aḑgwappü, quoted alone.
incorrect | hmaxanļa | §3.1.8 | lone Type-1+Y C_C; no parent anywhere in the archive.
incorrect | hwëivholüpsao | §3.1.8 | lone Type-2 C_C, posted once with no context.

# The chains those came from. Two we cannot read yet, and for
# hlamëuţřaitä-madwëužoár the author posted a bot gloss confirming the
# intended reading, so the word is right and we are wrong.
correct | hläxëinļa-epsil | §3.1.7 | Type-1 dependent, hyphen, parent with no C_C.
correct | hanļkakceilliu-abkaţria | §3.1.7 | Type-1 dependent, hyphen, parent with no C_C.
correct | haeřalei-avzalu | §3.1.7 | Type-1 dependent, hyphen, parent with no C_C.
correct | hliamžá-wiafçnuţkusvunëi | §3.1.7 | Type-1 dependent, hyphen, parent with no C_C.
correct | hrabtü'lksí-čpwasa | §3.1.7 | Type-2 chain; the author glossed it in-thread.
!correct | hafçäxeuppëu-aḑgwappü | §3.1.7 | Type-1 chain the author glossed in-thread.
!correct | hlamëuţřaitä-madwëužoár | §3.1.7 | Type-1 chain; author's gloss posted in-thread.

# ── modular adjunct slot structure ──────────────────────────────────
# §4.3 has four slots: an optional w/y prefix, two (V_N C) pairs, and a
# mandatory final vowel. These carry three pairs. All five are pre-2023
# and none survives into the post-2023 corpus, so they are evidence
# about an earlier draft rather than about v1.3.1. We accepted them
# until the pair limit was corrected from three to two.
incorrect | euwëiwohlëu | §4.3 | three (V_N C) pairs; the adjunct has two pair slots. Pre-2023.
incorrect | ohlëuheuwëi | §4.3 | three (V_N C) pairs; the adjunct has two pair slots. Pre-2023.
incorrect | uahuehuohuö | §4.3 | three (V_N C) pairs; the adjunct has two pair slots. Pre-2023.
incorrect | aiwiuhayô | §4.3 | three (V_N C) pairs; the adjunct has two pair slots. Pre-2023.
incorrect | eëyueyoaya | §4.3 | three (V_N C) pairs; the adjunct has two pair slots. Pre-2023.

# The grammar's own worked examples for §4.3, not Discord words. They
# are here because they settle the question above: they fill all four
